,C1 A,C1 B,C2,C3,C4,C5,C7
REACTOME_OAS_ANTIVIRAL_RESPONSE,0.829133810749279,0.424310238749459,-1.37482565384384,-1.10215577423343,0.678727443898274,1.11458224691305,-0.569772312232785
REACTOME_ALTERNATIVE_COMPLEMENT_ACTIVATION,0.568170347388167,0.911181547127826,-1.19567562066222,-0.812659728540805,-0.650464110377927,-0.315323946050378,1.49477151111534
REACTOME_HCMV_LATE_EVENTS,0.392831714247161,1.15058162405148,-0.967782117508388,-1.05833084886865,-1.03688509670438,0.41666032776302,1.10292439701976
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,-0.0437626764752237,1.87713185241677,-0.887449685243473,-0.0914711680424762,-0.239618589224996,-1.15361284872393,0.538783115293329
REACTOME_SYNTHESIS_OF_16_20_HYDROXYEICOSATETRAENOIC_ACIDS_HETE,-0.0437626764752237,1.87713185241677,-0.887449685243473,-0.0914711680424762,-0.239618589224996,-1.15361284872393,0.538783115293329
REACTOME_SYNTHESIS_OF_EPOXY_EET_AND_DIHYDROXYEICOSATRIENOIC_ACIDS_DHET,-0.0437626764752237,1.87713185241677,-0.887449685243473,-0.0914711680424762,-0.239618589224996,-1.15361284872393,0.538783115293329
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM,0.891885730073862,1.72056120561975,-0.187438500421094,-0.548065790704954,-0.949615326694783,-1.00076813382725,0.073440815954464
REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_TICAM1_DEPENDENT_ACTIVATION_OF_IRF3_IRF7,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,0.920426380894737,0.432556147752215,-1.44922903722609,-0.863268492658085,0.244119496855896,1.3076249786269,-0.592229474245572
REACTOME_ETHANOL_OXIDATION,-0.0104871348512343,1.01200851314412,-0.97268175745199,-0.626606307361255,-1.28991758670183,0.634471658499681,1.25321261472251
REACTOME_NEUROTRANSMITTER_CLEARANCE,-0.0104871348512343,1.01200851314412,-0.97268175745199,-0.626606307361255,-1.28991758670183,0.634471658499681,1.25321261472251
REACTOME_PROTEIN_REPAIR,-0.280606458797642,1.45566967289897,-0.816068716206367,-0.490019915903035,-0.657020520936449,-0.643766504663956,1.43181244360848
REACTOME_IRS_ACTIVATION,0.313411080008616,0.422308150181102,0.873832587481651,0.268258636278561,-1.7556332532686,-1.00928991867182,0.88711271799049
REACTOME_PI3K_AKT_ACTIVATION,0.313411080008616,0.422308150181102,0.873832587481651,0.268258636278561,-1.7556332532686,-1.00928991867182,0.88711271799049
REACTOME_SIGNAL_ATTENUATION,0.313411080008616,0.422308150181102,0.873832587481651,0.268258636278561,-1.7556332532686,-1.00928991867182,0.88711271799049
REACTOME_SIGNALING_BY_LEPTIN,0.313411080008616,0.422308150181102,0.873832587481651,0.268258636278561,-1.7556332532686,-1.00928991867182,0.88711271799049
REACTOME_SOS_MEDIATED_SIGNALLING,0.313411080008616,0.422308150181102,0.873832587481651,0.268258636278561,-1.7556332532686,-1.00928991867182,0.88711271799049
REACTOME_HDL_ASSEMBLY,1.4669907102441,0.951248775036011,-0.342156392318306,-0.436664076780521,-1.53565343609828,0.316697179361137,-0.420462759444141
REACTOME_ALPHA_DEFENSINS,-1.19091676581887,1.37822126979469,-0.230764569337541,-0.271980791338018,1.38652579456608,-0.707199539861619,-0.363885398004721
REACTOME_ACTIVATION_OF_C3_AND_C5,0.258780433133704,0.901103250056552,-1.40055351058365,-0.71033820292533,-0.634273658816046,0.0869309075534681,1.4983507815813
REACTOME_ERKS_ARE_INACTIVATED,-0.153470417544144,1.18013459008083,-1.48707542516912,-0.375737918814972,-0.238957918032924,-0.35579083536759,1.43089792484792
REACTOME_SIGNALING_BY_MAPK_MUTANTS,-0.153470417544144,1.18013459008083,-1.48707542516912,-0.375737918814972,-0.238957918032924,-0.35579083536759,1.43089792484792
REACTOME_ERYTHROCYTES_TAKE_UP_CARBON_DIOXIDE_AND_RELEASE_OXYGEN,-0.036441012241593,0.224924301425016,0.463403308806882,1.27545226899913,-0.315892282288643,-1.96942256889602,0.35797598419523
REACTOME_ERYTHROCYTES_TAKE_UP_OXYGEN_AND_RELEASE_CARBON_DIOXIDE,-0.036441012241593,0.224924301425016,0.463403308806882,1.27545226899913,-0.315892282288643,-1.96942256889602,0.35797598419523
REACTOME_MODULATION_BY_MTB_OF_HOST_IMMUNE_SYSTEM,0.416109586759808,1.23214902559983,-0.916851631843644,-1.11432736793304,-0.56255692885972,-0.382505522425267,1.32798283870204
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION,-0.363957545936085,0.854509020893418,-0.970275837564164,-0.0782883508420871,-1.02857567329763,-0.174483079802311,1.76107146654886
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES,0.370060889149387,0.215537114801302,-1.25502415084483,-0.565239513629036,-0.558938549569683,-0.103472114872092,1.89707632496496
REACTOME_MODULATION_OF_HOST_RESPONSES_BY_IFN_STIMULATED_GENES,0.893110173735653,0.622441031964563,-0.90851126499675,-0.640578649819284,0.679046691815009,0.883426543756442,-1.52893452645563
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5,-0.0971461872452593,0.71827999507446,-0.783187403366647,-0.729026254725485,-0.554506997992851,-0.497336896649402,1.94292374490518
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM,-0.0971461872452593,0.71827999507446,-0.783187403366647,-0.729026254725485,-0.554506997992851,-0.497336896649402,1.94292374490518
REACTOME_BETA_DEFENSINS,-0.417791425674713,1.3431268714331,-1.42936846018485,-1.0320397355226,0.551166249093687,0.242998164946673,0.741908335908695
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,0.744726015942575,0.196709481411746,-1.46277504193553,-0.0679614822712685,0.628624051809076,1.17750547797464,-1.21682850293124
REACTOME_DEFENSINS,-1.0972566331278,1.48453317890055,-0.543336737712941,-0.499155202046246,1.3253222395976,-0.517834390746226,-0.152272454864942
REACTOME_NOTCH2_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,0.585976986830007,0.188511976383297,0.150355335380413,0.455608463403486,-0.0213495491325662,0.814916832847313,-2.17402004571195
REACTOME_SIGNALING_BY_NOTCH2,0.585976986830007,0.188511976383297,0.150355335380413,0.455608463403486,-0.0213495491325662,0.814916832847313,-2.17402004571195
REACTOME_REGULATION_BY_C_FLIP,0.124151072946634,0.566696963966738,-1.97633848225748,-0.29594683809419,-0.206154918177067,1.01565656355235,0.771935638063018
REACTOME_TRAIL_SIGNALING,0.124151072946634,0.566696963966738,-1.97633848225748,-0.29594683809419,-0.206154918177067,1.01565656355235,0.771935638063018
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.77700854706542,0.293175762236027,-0.713456206200965,-0.541354611597221,-0.888805000702892,-0.716703406099149,1.79013491529878
