"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.78490742278317e-154,1.79991991421587,0.116,0.048,3.57873938268025e-151,"0","LL22NC03-86D4.1"
2.25977854382977e-128,1.74812774188032,0.108,0.048,4.53085598037868e-125,"0","DCDC2"
2.51813979893761e-128,1.74755336587935,0.111,0.05,5.04887029686992e-125,"0","ADAM32"
1.0752854553776e-134,1.72365680547726,0.119,0.054,2.15594733803208e-131,"0","LINC01088"
1.05674415284957e-246,1.72142605604979,0.191,0.084,2.11877202646339e-243,"0","XKR4"
9.63047762251083e-137,1.72111708553961,0.11,0.047,1.93091076331342e-133,"0","RP11-146N18.1"
1.0162052903613e-225,1.72077929733802,0.175,0.076,2.03749160717441e-222,"0","NOS1"
4.01838706747333e-160,1.71907701893791,0.132,0.059,8.05686607028403e-157,"0","AC108142.1"
6.74883782318989e-134,1.71711862356852,0.121,0.056,1.35314198354957e-130,"0","AC067956.1"
1.43601884172436e-152,1.71275504015723,0.135,0.062,2.87921777765735e-149,"0","TCF7L1"
0,2.54251218057729,0.25,0.081,0,"1","A2M"
0,2.23062038105476,0.564,0.17,0,"1","GNLY"
2.26281286513888e-142,2.15868984874079,0.144,0.057,4.53693979460346e-139,"1","PZP"
0,2.12051980985997,0.294,0.102,0,"1","FGFBP2"
0,2.07732470500015,0.536,0.168,0,"1","CCL5"
1.62192894385838e-192,2.03530343635661,0.229,0.102,3.25196753243604e-189,"1","IL2RB"
0,1.99137446354718,0.296,0.11,0,"1","GZMH"
5.08529164865851e-178,1.98808426354048,0.214,0.094,1.01960097555603e-174,"1","SPON2"
4.13082222637313e-213,1.98291226037463,0.235,0.101,8.28229856387812e-210,"1","NKG7"
1.44626239536956e-131,1.97965026085702,0.179,0.083,2.89975610271598e-128,"1","GPR56"
0,2.31705692220822,0.363,0.093,0,"2","IFI27"
0,1.72025349866931,0.543,0.183,0,"2","LYZ"
6.9589220954713e-130,1.70543740719477,0.254,0.14,1.395263880142e-126,"2","IFITM3"
8.67064837130183e-41,1.70451557812991,0.149,0.097,1.73846499844602e-37,"2","ISG15"
9.07616754759633e-36,1.65268022435206,0.143,0.095,1.81977159329306e-32,"2","OAS3"
6.68553601572689e-30,1.58689263385054,0.109,0.068,1.34044997115324e-26,"2","IFIT3"
3.21169179890631e-53,1.54517905320086,0.175,0.11,6.43944205680714e-50,"2","CST3"
8.73470098851898e-47,1.52359686729001,0.19,0.128,1.75130754819806e-43,"2","TYMP"
1.69589242423089e-13,1.51956871712668,0.112,0.086,3.40026431058293e-10,"2","KCTD12"
3.14476978943882e-60,1.49337722435997,0.179,0.108,6.30526342782484e-57,"2","SERPINA1"
0,4.32976795705686,0.155,0.007,0,"3","IGHV3-30"
0,3.48121889214646,0.694,0.079,0,"3","IGHG1"
0,3.21305475210554,0.692,0.13,0,"3","IGHM"
0,3.18413398206836,0.401,0.04,0,"3","IGHG3"
0,3.09392265008857,0.499,0.051,0,"3","IGHG4"
0,3.03562555906468,0.484,0.059,0,"3","IGHG2"
0,3.02411113045001,0.485,0.061,0,"3","IGLC2"
0,2.95769893503595,0.17,0.03,0,"3","MZB1"
0,2.90942180130788,0.535,0.063,0,"3","IGJ"
0,2.81896233214323,0.171,0.021,0,"3","IGHA2"
0,6.24992002335865,0.793,0.021,0,"4","MS4A1"
0,5.97769398063307,0.215,0.005,0,"4","TCL1A"
0,5.79128392993548,0.389,0.009,0,"4","LINC00926"
0,5.76458970148463,0.219,0.005,0,"4","FCRLA"
0,5.63002341620909,0.167,0.004,0,"4","SNX22"
0,5.48604878542692,0.511,0.017,0,"4","CD79A"
0,5.38189034913547,0.265,0.009,0,"4","CD19"
0,5.16526373637983,0.441,0.016,0,"4","FCRL1"
0,4.94879514057579,0.193,0.006,0,"4","SPIB"
0,4.84872354495211,0.412,0.01,0,"4","IGHD"
0.000203538070853749,1.11546074147227,0.249,0.257,0.408093832061767,"5","LINC00536"
0.00200186551390222,0.880445728832258,0.082,0.105,1,"5","TPST1"
0.00797689186546471,0.849441602343825,0.083,0.104,1,"5","ADAMTSL3"
0.00132591075520324,0.8312623166942,0.111,0.142,1,"5","AC011288.2"
5.5131137117239e-11,0.809966304810875,0.158,0.232,1.10537929920064e-07,"5","MRPS22"
0.00367703118178099,0.801082924259997,0.107,0.134,1,"5","AC133680.1"
0.000332831247111195,0.798493443592503,0.09,0.118,0.667326650457946,"5","AC005592.2"
6.71758556385561e-05,0.790729546154352,0.087,0.117,0.134687590555305,"5","NHSL1"
0.000630982880866897,0.785981857087573,0.111,0.143,1,"5","GLIS3"
0.0063225467383464,0.767395892923808,0.12,0.149,1,"5","CACNB2"
0,1.82672231478205,0.518,0.153,0,"6","LEF1"
0,1.7543966378387,0.33,0.09,0,"6","CCR7"
0,1.72394954424243,0.552,0.155,0,"6","TCF7"
0,1.47779979153009,0.63,0.193,0,"6","IL7R"
0,1.45946293308151,0.558,0.18,0,"6","LTB"
2.77163034067114e-214,1.44861073930861,0.264,0.095,5.55711883304563e-211,"6","ITGA6"
9.87911223658188e-287,1.2368454661183,0.463,0.205,1.98076200343467e-283,"6","LDHB"
3.46901175278205e-133,1.21700412976642,0.238,0.102,6.95536856432801e-130,"6","TTN"
7.69336565195924e-235,1.09279971863395,0.352,0.139,1.54251981321783e-231,"6","TRAC"
9.93158809415877e-187,1.0606362325751,0.354,0.159,1.99128341287883e-183,"6","THEMIS"
1.74616753871398e-271,1.76468718403135,0.14,0.027,3.50106591512154e-268,"7","LINC00670"
8.08909931133096e-313,1.74630336487083,0.141,0.024,1.62186441192186e-309,"7","GAD2"
1.52626625908991e-246,1.71741510976153,0.131,0.026,3.06016384947527e-243,"7","KIAA1456"
0,1.70404469771175,0.182,0.037,0,"7","IL34"
1.96199610596583e-275,1.68598100121926,0.15,0.03,3.93380219246148e-272,"7","RP11-595B24.1"
0,1.6767730050457,0.269,0.057,0,"7","EML1"
1.89192891362434e-225,1.67422589330457,0.106,0.019,3.7933174718168e-222,"7","SIAH3"
8.71879456303724e-256,1.6657600662,0.133,0.026,1.74811830988897e-252,"7","CTA-481E9.4"
0,1.66028424322065,0.236,0.051,0,"7","ADAMTS3"
9.14381591080092e-279,1.65730535353561,0.157,0.033,1.83333509011558e-275,"7","LGR5"
0,3.2945260846722,0.662,0.072,0,"8","CCR7"
0,2.89139518166337,0.828,0.14,0,"8","TCF7"
0,2.63473377293178,0.762,0.14,0,"8","LEF1"
0,2.60647321527101,0.473,0.084,0,"8","ITGA6"
0,2.30789411013738,0.821,0.183,0,"8","IL7R"
0,2.26261907445793,0.734,0.191,0,"8","LDHB"
0,2.1627041591374,0.749,0.17,0,"8","LTB"
0,2.04987368749878,0.382,0.095,0,"8","TTN"
0,1.97739619921406,0.557,0.128,0,"8","TRAC"
0,1.87939004871008,0.767,0.244,0,"8","TRBC2"
0,3.30943670860625,0.652,0.088,0,"9","CD8A"
0,3.2836795737135,0.456,0.043,0,"9","TRGC2"
0,3.18243959556007,0.186,0.018,0,"9","ZNF683"
0,3.15037255643246,0.334,0.036,0,"9","TRGC1"
0,2.96824845261457,0.692,0.096,0,"9","GZMH"
0,2.77002414112643,0.909,0.16,0,"9","CCL5"
0,2.68769701366976,0.124,0.015,0,"9","LAG3"
1.02059108333148e-273,2.57406069633078,0.11,0.017,2.04628512207962e-270,"9","CCR5"
0,2.39277880216456,0.351,0.058,0,"9","CD8B"
0,2.37345973202122,0.591,0.105,0,"9","IL32"
0,4.41862002631353,0.493,0.026,0,"10","CYP1B1"
0,4.07006156799456,0.499,0.02,0,"10","RNASE2"
0,3.99681123928796,0.14,0.004,0,"10","RNASE1"
0,3.98753034126075,0.224,0.01,0,"10","HP"
0,3.98627787608647,0.738,0.064,0,"10","S100A12"
0,3.960963881194,0.447,0.02,0,"10","C19orf59"
0,3.93789063973052,0.494,0.019,0,"10","SIGLEC1"
0,3.79399068222732,0.206,0.01,0,"10","TMEM176A"
0,3.76102080371596,0.775,0.085,0,"10","IFI27"
0,3.75454125986041,0.85,0.104,0,"10","PLBD1"
2.32039633030365e-77,1.77902753182329,0.281,0.171,4.65239464225883e-74,"11","TCF7"
4.32193219545849e-39,1.73667411811784,0.24,0.169,8.66547405189427e-36,"11","LEF1"
1.14889045313297e-17,1.73141566868387,0.142,0.1,2.30352535853161e-14,"11","CCR7"
1.09040696813933e-131,1.62732595149204,0.374,0.209,2.18626597111936e-128,"11","IL7R"
1.24997993829804e-44,1.46493249860923,0.277,0.196,2.50620977628757e-41,"11","LTB"
0.00107698347659651,1.26361483428869,0.156,0.15,1,"11","TRAC"
3.60313879657623e-19,1.15402927280728,0.302,0.27,7.22429328713534e-16,"11","TRBC2"
3.42887370831061e-33,1.05814760143494,0.451,0.446,6.87489178516277e-30,"11","RPS5"
0.00265831053735851,1.01078157250746,0.098,0.128,1,"11","CD3E"
1.77432022018186e-13,0.85585664182503,0.064,0.118,3.55751204146463e-10,"11","PABPC4"
0,3.89118625432653,0.368,0.021,0,"12","FCGR1B"
0,3.77161922090005,0.459,0.027,0,"12","FCGR1A"
0,3.75732549801238,0.382,0.022,0,"12","RP5-998N21.4"
0,3.72056303380472,0.459,0.031,0,"12","IL8"
0,3.4255856564257,0.546,0.053,0,"12","MAFB"
0,3.30221492957291,0.31,0.027,0,"12","EGR1"
0,3.27609789296288,0.625,0.063,0,"12","KLF4"
0,3.24974349020337,0.137,0.011,0,"12","IL1B"
0,3.13962712016861,0.793,0.082,0,"12","CD14"
0,3.10424578202917,0.976,0.192,0,"12","VCAN"
0,3.46553806604274,0.11,0.009,0,"13","CCR4"
0,2.59561611961541,0.8,0.196,0,"13","IL7R"
3.76797869663747e-309,2.56791835754127,0.187,0.031,7.55479728675813e-306,"13","AQP3"
0,2.50687275834289,0.252,0.048,0,"13","MAF"
0,2.47014787581618,0.779,0.18,0,"13","LTB"
0,2.24485900606832,0.603,0.135,0,"13","TRAC"
0,2.07118160319463,0.459,0.112,0,"13","BIRC3"
0,2.02773110443938,0.475,0.117,0,"13","IL32"
2.81573419772214e-93,2.02196267513075,0.112,0.03,5.64554706643289e-90,"13","RTKN2"
0,1.98698744030027,0.64,0.16,0,"13","TCF7"
0,3.4001182848463,0.218,0.018,0,"14","KLRC1"
0,3.33944442871542,0.349,0.026,0,"14","TRDC"
0,3.27283399034447,0.948,0.154,0,"14","PRF1"
0,3.26609941155027,0.702,0.084,0,"14","SPON2"
0,3.23165105495737,0.95,0.176,0,"14","GNLY"
0,3.18581952738883,0.717,0.093,0,"14","IL2RB"
0,3.1791501403369,0.762,0.096,0,"14","FGFBP2"
0,3.17882603770213,0.122,0.011,0,"14","AKAP5"
0,3.10888091255862,0.836,0.112,0,"14","GZMB"
0,2.98280571185472,0.47,0.05,0,"14","AE000661.37"
4.00868367748946e-296,2.3595614622473,0.206,0.031,8.03741077336636e-293,"15","TRDC"
0,2.2568916556468,0.526,0.093,0,"15","SPON2"
0,2.20504530406416,0.518,0.102,0,"15","IL2RB"
0,2.18278535243986,0.574,0.105,0,"15","FGFBP2"
0,2.17993049600068,0.79,0.163,0,"15","PRF1"
0,2.17560129084496,0.825,0.184,0,"15","GNLY"
3.03035484319593e-139,2.14888250932615,0.12,0.022,6.07586146060784e-136,"15","KLRC1"
4.11972764407814e-156,2.04715772089448,0.148,0.029,8.26005392637668e-153,"15","CCL4"
0,1.9870747408357,0.429,0.082,0,"15","GPR56"
0,1.97101696374838,0.305,0.057,0,"15","AE000661.37"
0,3.77055891171614,0.435,0.026,0,"16","TMEM176B"
0,3.60650672582709,0.396,0.023,0,"16","CD1D"
0,3.60415664241753,0.798,0.067,0,"16","TNFAIP2"
0,3.5319500531712,0.252,0.013,0,"16","TMEM176A"
0,3.5195415921622,0.392,0.029,0,"16","EGR1"
0,3.45534365311421,0.73,0.058,0,"16","TGFBI"
0,3.34251354594325,0.325,0.021,0,"16","CD300LF"
0,3.2832544996983,0.981,0.144,0,"16","FCN1"
0,3.27935945593695,0.888,0.1,0,"16","CST3"
0,3.26985067589174,0.734,0.068,0,"16","KLF4"
0,7.56225513542219,0.159,0.002,0,"17","GP9"
0,7.40113489945735,0.574,0.015,0,"17","TUBB1"
0,7.11711231052524,0.555,0.016,0,"17","PPBP"
0,7.06513049968558,0.537,0.017,0,"17","SDPR"
0,6.97694225785229,0.251,0.004,0,"17","PF4V1"
0,6.88206853935477,0.525,0.014,0,"17","PF4"
0,6.85552773774454,0.166,0.004,0,"17","GNAZ"
0,6.72136727557411,0.375,0.01,0,"17","GNG11"
0,6.4165181887099,0.181,0.004,0,"17","TREML1"
0,6.30454102436454,0.527,0.031,0,"17","NRGN"
0,8.76378327590804,0.381,0.005,0,"18","HBA1"
0,8.51855796842934,0.673,0.015,0,"18","HBA2"
0,8.41771167039064,0.237,0.003,0,"18","HBD"
0,8.08403942308802,0.885,0.064,0,"18","HBB"
0,6.45970566564416,0.104,0.005,0,"18","ALAS2"
7.86021203366725e-34,2.45784451341373,0.108,0.037,1.57597251275028e-30,"18","SNCA"
0.000148918039893999,1.80369552323546,0.113,0.086,0.298580669987468,"18","YBX3"
7.14119231038632e-07,1.61987211987968,0.117,0.079,0.00143180905823246,"18","FAM46C"
3.81513561574399e-05,0.675837885778382,0.136,0.203,0.0764934690956671,"18","NCOA4"
1.59107803437601e-16,0.373570513411543,0.916,0.89,3.19011145892391e-13,"18","HFM1"
0,7.52826649525218,0.172,0.001,0,"19","VMO1"
0,7.35651053360551,0.726,0.006,0,"19","CDKN1C"
0,7.21156934240984,0.342,0.001,0,"19","AC104809.4"
0,7.04428437569409,0.245,0.002,0,"19","CKB"
0,6.76252292067441,0.112,0,0,"19","LYPD2"
0,5.45961671487215,0.797,0.03,0,"19","MS4A7"
0,5.37027168024031,0.158,0.002,0,"19","HES4"
0,4.73427194075728,0.553,0.025,0,"19","RP11-290F20.3"
0,4.56201360511389,0.618,0.035,0,"19","SIGLEC10"
0,4.55265918981712,0.115,0.004,0,"19","TPPP3"
0,7.37787292054457,0.107,0.002,0,"20","IGLV5-45"
0,6.27826982870716,0.837,0.19,0,"20","IGLC3"
0,6.06089796377505,0.783,0.085,0,"20","IGLC2"
0,5.94181533093199,0.307,0.004,0,"20","IGLC7"
3.22516571838641e-277,5.77360560429886,0.111,0.005,6.46645726536475e-274,"20","IGLV2-14"
3.70693547077057e-248,5.74563604041721,0.111,0.006,7.43240561889499e-245,"20","IGLV3-10"
0,5.62783457230078,0.118,0.003,0,"20","IGLV2-11"
0,5.57806722240329,0.124,0.004,0,"20","IGLV1-47"
0,5.52621595379385,0.146,0.008,0,"20","IGLV3-19"
0,5.46494357295568,0.651,0.077,0,"20","IGHG4"
0,6.84964061646059,0.449,0.012,0,"21","G0S2"
0,6.56143592439774,0.255,0.006,0,"21","CXCR1"
0,6.39676296055962,0.583,0.025,0,"21","CXCR2"
0,5.92320177588265,0.171,0.009,0,"21","PTGS2"
0,5.73947348910932,0.336,0.017,0,"21","MMP25"
0,5.70112389454869,0.781,0.07,0,"21","FCGR3B"
0,5.47724195855836,0.352,0.023,0,"21","FFAR2"
0,5.44410585271717,0.635,0.057,0,"21","NAMPTL"
0,5.33964252649867,0.695,0.071,0,"21","CSF3R"
0,5.33687299573978,0.181,0.008,0,"21","S100P"
1.22570914264458e-252,3.67170540832688,0.152,0.009,2.45754683100238e-249,"22","CTLA4"
0,3.48985026372299,0.662,0.066,0,"22","IFIT3"
1.21734512983094e-172,3.31205054759343,0.134,0.011,2.44077698531103e-169,"22","CCR4"
0,3.1180036812306,0.363,0.033,0,"22","IFIT1"
0,3.01926683066662,0.466,0.053,0,"22","RSAD2"
4.65135947911485e-111,2.69799470794976,0.203,0.034,9.32597575562528e-108,"22","AQP3"
0,2.45997597487176,0.755,0.156,0,"22","MX1"
8.72312422984388e-319,2.3948665170969,0.556,0.094,1.7489864080837e-315,"22","OAS3"
1.42603666615895e-176,2.31887243413469,0.374,0.073,2.85920351564869e-173,"22","OAS1"
4.78856094665951e-128,2.30125361865513,0.273,0.052,9.60106469805233e-125,"22","MAF"
0,4.82091917216533,0.374,0.014,0,"23","S100B"
4.29431851812313e-183,4.18789481011527,0.12,0.007,8.61010862883688e-180,"23","CCL4L1"
1.56611616827564e-314,3.67041473678355,0.315,0.029,3.14006291739265e-311,"23","CCL4"
0,3.47772186709754,0.549,0.053,0,"23","RSAD2"
0,3.36712186413724,0.867,0.128,0,"23","GZMB"
0,3.28684825580918,0.611,0.067,0,"23","IFIT3"
0,3.16442042414911,0.35,0.034,0,"23","IFIT1"
0,3.06440186587296,0.72,0.114,0,"23","CX3CR1"
0,3.06052007617719,0.926,0.172,0,"23","PRF1"
2.99051048781604e-138,2.97415118334998,0.188,0.023,5.99597352807116e-135,"23","KLRC1"
0,5.5830905804749,0.273,0.005,0,"24","CDT1"
0,5.52763533145125,0.672,0.034,0,"24","MKI67"
0,5.0520633133748,0.24,0.006,0,"24","ZWINT"
0,4.90489173340363,0.584,0.028,0,"24","MCM4"
0,4.76420733579914,0.453,0.027,0,"24","TOP2A"
0,4.74498331375711,0.296,0.015,0,"24","HIST1H1B"
0,4.6541811399773,0.648,0.046,0,"24","STMN1"
0,4.59726842343606,0.163,0.006,0,"24","HIST1H2AJ"
0,4.59074188996508,0.124,0.003,0,"24","UBE2C"
0,4.52225307185916,0.41,0.018,0,"24","RRM2"
0,7.02932074278872,0.215,0.003,0,"25","IGKV1-9"
0,6.85459018945052,0.23,0.007,0,"25","IGKV1-39"
0,6.80758478377538,0.119,0.002,0,"25","IGKV2-30"
0,6.7763139927343,0.931,0.012,0,"25","IGKC"
0,6.57504140377296,0.245,0.004,0,"25","IGKV3D-20"
0,6.56510417737124,0.241,0.003,0,"25","IGKV3D-11"
2.08310222830113e-257,6.51023850188087,0.172,0.006,4.17661996774376e-254,"25","IGKV1-5"
0,6.41347698656968,0.142,0.002,0,"25","IGKV1-12"
3.23938514375232e-297,6.39095458255086,0.165,0.004,6.49496721322341e-294,"25","IGKV3-11"
0,6.32318202707391,0.261,0.007,0,"25","IGKV3-20"
0,8.59239616732992,0.21,0,0,"26","ENHO"
0,6.40435927924548,0.618,0.008,0,"26","FCER1A"
0,6.04558901385225,0.494,0.009,0,"26","CD1C"
0,6.04186630447004,0.494,0.007,0,"26","CLEC10A"
0,4.64310092402363,0.876,0.063,0,"26","HLA-DQA1"
0,4.56428380332214,0.489,0.023,0,"26","HLA-DQA2"
0,4.55462125945263,0.459,0.016,0,"26","HLA-DQB2"
2.24846607467864e-317,4.38956428178647,0.979,0.165,4.50817447973067e-314,"26","HLA-DPA1"
0,4.3420353093694,0.751,0.054,0,"26","HLA-DQB1"
2.31868373143822e-301,4.26662914313709,1,0.191,4.64896088153364e-298,"26","HLA-DRA"
0,9.24111678078749,0.71,0.005,0,"27","CLC"
0,8.90027010113269,0.778,0.005,0,"27","GATA2"
0,8.79925531894212,0.204,0.001,0,"27","CPA3"
0,7.30704399246814,0.636,0.014,0,"27","HDC"
0,7.18762755628131,0.444,0.009,0,"27","FCER1A"
2.33659152323127e-209,6.392533295528,0.136,0.003,4.6848660040787e-206,"27","MS4A2"
0,6.27248747716018,0.34,0.008,0,"27","MS4A3"
0,6.1374095833639,0.71,0.049,0,"27","CSF2RB"
5.55781458228474e-75,5.05369305640078,0.123,0.006,1.11434182374809e-71,"27","TCN1"
2.75182244337759e-239,4.89633200039963,0.698,0.068,5.51740399897207e-236,"27","AKAP12"
0,8.16917832672187,0.627,0.004,0,"28","LILRA4"
0,7.67246364881345,0.177,0,0,"28","RP11-71G12.1"
0,7.39410540678265,0.57,0.005,0,"28","PLD4"
2.15709664149684e-288,6.30249456125165,0.127,0.002,4.32497876620116e-285,"28","RASD1"
0,6.20275591381163,0.734,0.018,0,"28","SERPINF1"
2.66201905955036e-315,6.1332132956756,0.133,0.002,5.33734821439846e-312,"28","KRT5"
0,5.60273973503712,0.582,0.015,0,"28","SPIB"
8.24909413012226e-253,5.55938971906469,0.241,0.007,1.65394337308951e-249,"28","PTGDS"
0,5.55050051201202,0.924,0.081,0,"28","IRF8"
0,5.42490601045389,0.557,0.011,0,"28","MAP1A"
0,10.371238787784,0.61,0.002,0,"29","CAMP"
0,10.0960902405855,0.805,0.002,0,"29","LCN2"
0,10.0324974067576,0.813,0.004,0,"29","MMP8"
0,9.69025175095588,0.748,0.002,0,"29","CEACAM8"
0,9.64070092826352,0.837,0.018,0,"29","LTF"
0,9.29071584566689,0.52,0.001,0,"29","PGLYRP1"
8.8138519326242e-238,9.28773592402015,0.455,0.022,1.76717731249115e-234,"29","DEFA1B"
0,9.24912055973268,0.35,0.006,0,"29","DEFA3"
0,8.90196655572588,0.309,0.004,0,"29","DEFA1"
0,8.64074790985297,0.325,0.004,0,"29","MMP9"
0,6.38078118177576,0.215,0.002,0,"30","C19orf77"
3.82976276660148e-157,6.31807125221221,0.139,0.002,7.67867434703597e-154,"30","HOXA9"
0,6.29031297301885,0.165,0.001,0,"30","CPA3"
0,6.19025248186575,0.228,0.002,0,"30","CYTL1"
2.07507571253324e-322,5.82165355841566,0.215,0.002,4.16052680362914e-319,"30","CPXM1"
3.05650582606809e-175,5.47607618806377,0.139,0.002,6.12829418126653e-172,"30","TIMP3"
1.03593884235534e-225,5.35642685067118,0.582,0.024,2.07705737892246e-222,"30","SOX4"
2.06871667854575e-270,5.28840608891506,0.177,0.002,4.14777694048423e-267,"30","EGFL7"
0,5.11029789755456,0.519,0.007,0,"30","GATA2"
4.78372341501393e-85,4.86225926746332,0.114,0.002,9.59136544710294e-82,"30","ARMCX1"
